,0
0,1
1,2016
2,a
3,abcn
4,about
5,after
6,aid
7,american
8,an
9,and
10,back
11,bad
12,barack
13,been
14,better
15,bill
16,black
17,breaking
18,bush
19,busi
20,but
21,call
22,campaign
23,candid
24,candidate
25,candidates
26,carolina
27,check
28,children
29,chri
30,chris
31,citi
32,city
33,claim
34,claims
35,clinton
36,come
37,comments
38,commun
39,community
40,countri
41,country
42,critic
43,cruz
44,debat
45,debate
46,debates
47,democratic
48,did
49,do
50,donald
51,drug
52,drugs
53,dure
54,email
55,employe
56,event
57,fact
58,first
59,florida
60,follow
61,for
62,foundat
63,frisk
64,from
65,georg
66,george
67,get
68,gets
69,getting
70,give
71,gop
72,great
73,gun
74,ha
75,happen
76,happening
77,he
78,hi
79,hofstra
80,http
81,huge
82,i
83,in
84,includ
85,interview
86,j
87,johnson
88,kill
89,latest
90,leader
91,leaders
92,leav
93,leave
94,looking
95,m
96,make
97,manager
98,may
99,mayb
100,maybe
101,mike
102,militari
103,military
104,million
105,morn
106,morning
107,most
108,my
109,nation
110,national
111,new
112,nomine
113,nominee
114,north
115,now
116,of
117,off
118,offic
119,on
120,open
121,over
122,own
123,paul
124,penc
125,pence
126,person
127,point
128,polici
129,policy
130,polit
131,political
132,poll
133,polls
134,possibility
135,presid
136,president
137,presidenti
138,presidential
139,pretti
140,pretty
141,question
142,rahami
143,record
144,refuge
145,released
146,rep
147,reporter
148,republican
149,respect
150,russia
151,s
152,said
153,say
154,says
155,senat
156,senator
157,set
158,shoot
159,shooting
160,show
161,stage
162,stand
163,start
164,state
165,states
166,stop
167,suggest
168,support
169,t
170,take
171,ted
172,televis
173,that
174,the
175,thi
176,to
177,total
178,tri
179,trump
180,try
181,tweet
182,two
183,univers
184,university
185,up
186,used
187,video
188,voter
189,voters
190,wa
191,war
192,week
193,while
194,who
195,win
196,with
197,ws
198,year
199,you
200,num_reactions
201,num_comments
202,num_shares
203,num_likes
204,num_loves
205,num_wows
206,num_hahas
207,num_sads
208,num_angrys
209,Category_left
210,Category_mainstream
211,Category_right
